Fri Jan 28 15:59:50 2022       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 495.29.05    Driver Version: 495.29.05    CUDA Version: 11.5     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  Tesla P100-PCIE...  Off  | 00000000:06:00.0 Off |                    0 |
| N/A   41C    P0    29W / 250W |      0MiB / 16280MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
|   1  Tesla P100-PCIE...  Off  | 00000000:86:00.0 Off |                    0 |
| N/A   34C    P0    31W / 250W |      0MiB / 16280MiB |      2%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2020 NVIDIA Corporation
Built on Tue_Sep_15_19:10:02_PDT_2020
Cuda compilation tools, release 11.1, V11.1.74
Build cuda_11.1.TC455_06.29069683_0
My torch test
Running on host gpu11.bc4.acrc.priv
Time is Fri Jan 28 15:59:54 GMT 2022
Directory is /user/home/ak18001/code/colloidoscope
Slurm job ID is 10011203
This jobs runs on the following machines:
gpu11
28
------------num available devices: 2
Current cuda device  0
https://app.neptune.ai/wahabk/Colloidoscope/e/COL-159
/user/home/ak18001/.conda/envs/colloids/lib/python3.8/site-packages/neptune/new/internal/utils/git.py:35: UserWarning: GitPython could not be initialized
  warnings.warn("GitPython could not be initialized")
/user/home/ak18001/.conda/envs/colloids/lib/python3.8/site-packages/neptune/new/internal/utils/git.py:35: UserWarning: GitPython could not be initialized
  warnings.warn("GitPython could not be initialized")
/user/home/ak18001/.conda/envs/colloids/lib/python3.8/site-packages/neptune/new/internal/utils/git.py:35: UserWarning: GitPython could not be initialized
  warnings.warn("GitPython could not be initialized")
/user/home/ak18001/.local/lib/python3.8/site-packages/torch/utils/data/dataloader.py:478: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
training on cuda
Progress:   0%|          | 0/15 [00:00<?, ?it/s]
Training:   0%|          | 0/63 [00:00<?, ?it/s][A
Training: (loss 0.9266):   0%|          | 0/63 [00:09<?, ?it/s][A
Training: (loss 0.9266):   2%|▏         | 1/63 [00:09<09:47,  9.48s/it][A
Training: (loss 0.9290):   2%|▏         | 1/63 [00:11<09:47,  9.48s/it][A
Training: (loss 0.9290):   3%|▎         | 2/63 [00:11<04:57,  4.88s/it][A
Training: (loss 1.4975):   3%|▎         | 2/63 [00:12<04:57,  4.88s/it][A
Training: (loss 1.4975):   5%|▍         | 3/63 [00:12<03:23,  3.39s/it][A
Training: (loss 1.1912):   5%|▍         | 3/63 [00:14<03:23,  3.39s/it][A
Training: (loss 1.1912):   6%|▋         | 4/63 [00:14<02:37,  2.67s/it][A
Training: (loss 0.9288):   6%|▋         | 4/63 [00:15<02:37,  2.67s/it][A
Training: (loss 0.9288):   8%|▊         | 5/63 [00:16<02:14,  2.31s/it][A
Training: (loss 0.7277):   8%|▊         | 5/63 [00:17<02:14,  2.31s/it][A
Training: (loss 0.7277):  10%|▉         | 6/63 [00:17<01:57,  2.07s/it][A
Training: (loss 0.6773):  10%|▉         | 6/63 [00:19<01:57,  2.07s/it][A
Training: (loss 0.6773):  11%|█         | 7/63 [00:19<01:47,  1.92s/it][A
Training: (loss 0.6107):  11%|█         | 7/63 [00:20<01:47,  1.92s/it][A
Training: (loss 0.6107):  13%|█▎        | 8/63 [00:20<01:39,  1.82s/it][A
Training: (loss 0.5714):  13%|█▎        | 8/63 [00:22<01:39,  1.82s/it][A
Training: (loss 0.5714):  14%|█▍        | 9/63 [00:22<01:37,  1.80s/it][A
Training: (loss 0.5471):  14%|█▍        | 9/63 [00:24<01:37,  1.80s/it][A
Training: (loss 0.5471):  16%|█▌        | 10/63 [00:24<01:32,  1.74s/it][A
Training: (loss 0.5224):  16%|█▌        | 10/63 [00:25<01:32,  1.74s/it][A
Training: (loss 0.5224):  17%|█▋        | 11/63 [00:25<01:27,  1.69s/it][A
Training: (loss 0.4958):  17%|█▋        | 11/63 [00:27<01:27,  1.69s/it][A
Training: (loss 0.4958):  19%|█▉        | 12/63 [00:27<01:24,  1.66s/it][A
Training: (loss 0.4773):  19%|█▉        | 12/63 [00:28<01:24,  1.66s/it][A
Training: (loss 0.4773):  21%|██        | 13/63 [00:28<01:21,  1.63s/it][A
Training: (loss 0.5274):  21%|██        | 13/63 [00:30<01:21,  1.63s/it][A
Training: (loss 0.5274):  22%|██▏       | 14/63 [00:30<01:19,  1.61s/it][A
Training: (loss 0.4720):  22%|██▏       | 14/63 [00:32<01:19,  1.61s/it][A
